epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,46.1831,1.18216,2.14135,1.54782,0.86755,0.41667,0.61963,0.37842,1.88513,1.85058,1.56705,2.75753e-05,2.75753e-05,2.75753e-05
67,46.8978,0.90398,1.06336,1.23135,0.86755,0.41667,0.61963,0.37842,1.88513,1.85058,1.56705,2.7222e-05,2.7222e-05,2.7222e-05
68,47.6019,0.65274,0.93905,1.08714,0.86755,0.41667,0.61963,0.37842,1.88513,1.85058,1.56705,2.68451e-05,2.68451e-05,2.68451e-05
69,48.2881,1.00587,1.23158,1.44639,0.85555,0.41667,0.62182,0.37862,1.89203,1.8825,1.56618,2.64447e-05,2.64447e-05,2.64447e-05
70,48.9773,1.32805,1.53988,1.52894,0.85555,0.41667,0.62182,0.37862,1.89203,1.8825,1.56618,2.60207e-05,2.60207e-05,2.60207e-05
71,49.6655,0.78775,0.94283,1.24643,0.85555,0.41667,0.62182,0.37862,1.89203,1.8825,1.56618,2.55731e-05,2.55731e-05,2.55731e-05
72,50.3874,0.7635,1.05142,1.22792,0.9805,0.35154,0.6148,0.38377,1.87612,1.89973,1.56234,2.5102e-05,2.5102e-05,2.5102e-05
73,51.0617,0.68136,0.79067,1.22452,0.9805,0.35154,0.6148,0.38377,1.87612,1.89973,1.56234,2.46073e-05,2.46073e-05,2.46073e-05
74,51.7499,1.27332,1.67417,1.72655,0.9805,0.35154,0.6148,0.38377,1.87612,1.89973,1.56234,2.40891e-05,2.40891e-05,2.40891e-05
75,52.4589,0.95484,1.0862,1.25983,0.8568,0.41667,0.62441,0.37598,1.90205,1.93445,1.56867,2.35472e-05,2.35472e-05,2.35472e-05
76,53.1467,0.93222,1.35423,1.40925,0.8568,0.41667,0.62441,0.37598,1.90205,1.93445,1.56867,2.29819e-05,2.29819e-05,2.29819e-05
