epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,98.694,1.0541,1.90483,1.3967,0.87428,0.41667,0.69932,0.39109,1.83319,1.7646,1.52159,2.96948e-05,2.96948e-05,2.96948e-05
58,100.365,1.09086,1.8068,1.46962,0.87428,0.41667,0.69932,0.39109,1.83319,1.7646,1.52159,2.95535e-05,2.95535e-05,2.95535e-05
59,102.11,0.95766,0.96405,1.3146,0.87428,0.41667,0.69932,0.39109,1.83319,1.7646,1.52159,2.93887e-05,2.93887e-05,2.93887e-05
60,103.889,1.13947,1.10787,1.59609,0.87171,0.41667,0.698,0.40806,1.82793,1.76229,1.51752,2.92003e-05,2.92003e-05,2.92003e-05
61,105.559,0.75569,0.91013,1.15508,0.87171,0.41667,0.698,0.40806,1.82793,1.76229,1.51752,2.89884e-05,2.89884e-05,2.89884e-05
62,107.226,0.85498,1.16903,1.16807,0.87171,0.41667,0.698,0.40806,1.82793,1.76229,1.51752,2.87529e-05,2.87529e-05,2.87529e-05
63,108.935,0.81849,1.11693,1.23181,0.87051,0.41667,0.6865,0.39374,1.81756,1.78535,1.51343,2.84938e-05,2.84938e-05,2.84938e-05
64,110.574,0.75637,0.76113,1.1962,0.87051,0.41667,0.6865,0.39374,1.81756,1.78535,1.51343,2.82112e-05,2.82112e-05,2.82112e-05
65,112.284,0.77208,0.92702,1.32476,0.87051,0.41667,0.6865,0.39374,1.81756,1.78535,1.51343,2.7905e-05,2.7905e-05,2.7905e-05
66,114.028,0.75083,1.26735,1.14971,0.86938,0.41667,0.68752,0.39147,1.81711,1.79896,1.51297,2.75753e-05,2.75753e-05,2.75753e-05
67,115.754,0.8366,1.22139,1.19575,0.86938,0.41667,0.68752,0.39147,1.81711,1.79896,1.51297,2.7222e-05,2.7222e-05,2.7222e-05
68,117.403,1.16811,2.13299,1.58747,0.86938,0.41667,0.68752,0.39147,1.81711,1.79896,1.51297,2.68451e-05,2.68451e-05,2.68451e-05
